clade	avg_bgcome_prop	avg_bgcome_size	aux_ogs	phylo_breadth	avg_bgcome_size_rank
C6	0.08279813349447149	504335.5714285714	6356	0.8152020689999998	1
C9	0.09705467526447888	715803.5	7228	1.080731107	2
C7	0.13341268620680402	912821.7555555556	19821	4.651796066999999	3
C8	0.11015440816149658	920347.1578947369	15177	1.7830126899999996	4
C3	0.12549983569063822	1049271.0416666667	16256	1.5104998240000003	5
C2	0.13078888405348782	1054777.8157894737	20132	2.4167616080000003	6
C1	0.12017124351285698	1095651.8372093022	33041	5.086419091000002	7
C4	0.14779951777214778	1275830.2727272727	9566	0.7783896730000002	8
C5	0.2091400407722893	1814615.9523809524	14665	1.457721617	9
