foc_id	foc_val	com_val
SAOUHSC_02877	0.922997	0.903833
SAOUHSC_02877	0.041812	0.463066
SAOUHSC_02877	0.025087	0.167944
SAOUHSC_02877	0.693728	0.808362
SAOUHSC_02877	0.716725	0.754704
SAOUHSC_02877	0.612892	0.787108
SAOUHSC_02877	0.622997	0.749826
SAOUHSC_02877	0.663415	0.691638
SAOUHSC_02877	0.724042	0.962718
SAOUHSC_02877	0.451568	0.209756
SAOUHSC_02877	0.573519	0.823345
SAOUHSC_02877	0.721603	0.866899
SAOUHSC_02877	0.43101	0.578397
SAOUHSC_02877	0.634495	0.66899
SAOUHSC_02877	0.050871	0.232056
SAOUHSC_02877	0.055401	0.235889
SAOUHSC_02877	0.809408	0.965505
SAOUHSC_02877	0.594425	0.95784
SAOUHSC_02877	0.773868	0.949129
SAOUHSC_02877	0.851916	0.818815
SAOUHSC_02877	0.741463	0.954007
SAOUHSC_02877	0.052613	0.228223
SAOUHSC_02877	0.51324	0.757143
SAOUHSC_02877	0.051916	0.218467
SAOUHSC_02877	0.039373	0.216725
SAOUHSC_02877	0.051568	0.226132
SAOUHSC_02877	0.154704	0.302439
SAOUHSC_02877	0.722997	0.848432
SAOUHSC_02877	0.967596	0.865854
SAOUHSC_02877	0.039721	0.20662
SAOUHSC_02877	0.052962	0.229268
SAOUHSC_02877	0.239024	0.53101
SAOUHSC_02877	0.539721	0.715331
SAOUHSC_02877	0.021959	0.140816
SAOUHSC_02877	0.052613	0.22892
SAOUHSC_02877	0.05331	0.234495
SAOUHSC_02877	0.595952	0.58764
SAOUHSC_02877	0.47108	0.745296
SAOUHSC_02877	0.575958	0.240418
SAOUHSC_02877	0.696516	0.845296
SAOUHSC_02877	0.62439	0.854704
SAOUHSC_02877	0.742509	0.867247
SAOUHSC_02877	0.566899	0.943902
SAOUHSC_02877	0.54878	0.957491
SAOUHSC_02877	0.581185	0.745296
SAOUHSC_02877	0.162369	0.945993
SAOUHSC_02877	0.642509	0.922997
SAOUHSC_02877	0.074216	0.690941
SAOUHSC_02877	0.641463	0.630314
SAOUHSC_02877	0.657491	0.75784
SAOUHSC_02877	0.695819	0.683972
SAOUHSC_02877	0.055401	0.236237
SAOUHSC_02877	0.052962	0.236237
SAOUHSC_02877	0.772474	0.826132
SAOUHSC_02877	0.050523	0.228223
SAOUHSC_02877	0.780488	0.960976
SAOUHSC_02877	0.788502	0.79338
SAOUHSC_02877	0.434495	0.701394
SAOUHSC_02877	0.043902	0.206272
SAOUHSC_02877	0.051916	0.234495
SAOUHSC_02877	0.737631	0.906969
SAOUHSC_02877	0.579791	0.881882
SAOUHSC_02877	0.025087	0.18676
SAOUHSC_02877	0.795819	0.763763
SAOUHSC_02877	0.843206	0.84669
SAOUHSC_02877	0.743902	0.902439
SAOUHSC_02877	0.907317	0.933449
SAOUHSC_02877	0.666899	0.676655
SAOUHSC_02877	0.743902	0.475958
SAOUHSC_02877	0.680836	0.921603
SAOUHSC_02877	0.053659	0.232404
SAOUHSC_02877	0.680139	0.963066
SAOUHSC_02877	0.655749	0.962021
SAOUHSC_02877	0.688153	0.970383
SAOUHSC_02877	0.566899	0.647038
SAOUHSC_02877	0.849826	0.955749
SAOUHSC_02877	0.733798	0.707317
SAOUHSC_02877	0.055401	0.233798
SAOUHSC_02877	0.854653	0.542001
SAOUHSC_02877	0.735192	0.935889
SAOUHSC_02877	0.053659	0.229617
SAOUHSC_02877	0.055052	0.236237
SAOUHSC_02877	0.791289	0.863763
SAOUHSC_02877	0.636585	0.82439
SAOUHSC_02877	0.50662	0.71324
SAOUHSC_02877	0.755052	0.919512
SAOUHSC_02877	0.725436	0.965505
SAOUHSC_02877	0.050174	0.224042
SAOUHSC_02877	0.755401	0.883972
SAOUHSC_02877	0.672474	0.737282
SAOUHSC_02877	0.693031	0.615331
SAOUHSC_02879	0.921603	0.903833
SAOUHSC_02879	0.470035	0.463066
SAOUHSC_02879	0.984669	0.167944
SAOUHSC_02879	0.76899	0.808362
SAOUHSC_02879	0.848084	0.754704
SAOUHSC_02879	0.757143	0.787108
SAOUHSC_02879	0.820209	0.749826
SAOUHSC_02879	0.663763	0.691638
SAOUHSC_02879	0.917422	0.962718
SAOUHSC_02879	0.573519	0.209756
SAOUHSC_02879	0.833449	0.823345
SAOUHSC_02879	0.910453	0.866899
SAOUHSC_02879	0.605226	0.578397
SAOUHSC_02879	0.431707	0.66899
SAOUHSC_02879	0.172125	0.232056
SAOUHSC_02879	0.173868	0.235889
SAOUHSC_02879	0.943902	0.965505
SAOUHSC_02879	0.95993	0.95784
SAOUHSC_02879	0.956098	0.949129
SAOUHSC_02879	0.786063	0.818815
SAOUHSC_02879	0.920906	0.954007
SAOUHSC_02879	0.166202	0.228223
SAOUHSC_02879	0.727178	0.757143
SAOUHSC_02879	0.164111	0.218467
SAOUHSC_02879	0.155749	0.216725
SAOUHSC_02879	0.16446	0.226132
SAOUHSC_02879	0.278397	0.302439
SAOUHSC_02879	0.830662	0.848432
SAOUHSC_02879	0.859233	0.865854
SAOUHSC_02879	0.145296	0.20662
SAOUHSC_02879	0.169686	0.229268
SAOUHSC_02879	0.390244	0.53101
SAOUHSC_02879	0.736934	0.715331
SAOUHSC_02879	0.093761	0.140816
SAOUHSC_02879	0.166202	0.22892
SAOUHSC_02879	0.173519	0.234495
SAOUHSC_02879	0.068666	0.58764
SAOUHSC_02879	0.927875	0.745296
SAOUHSC_02879	0.741115	0.240418
SAOUHSC_02879	0.841812	0.845296
SAOUHSC_02879	0.719512	0.854704
SAOUHSC_02879	0.806272	0.867247
SAOUHSC_02879	0.981185	0.943902
SAOUHSC_02879	0.658188	0.957491
SAOUHSC_02879	0.753659	0.745296
SAOUHSC_02879	0.772474	0.945993
